127.0.0.1 - - [27/Apr/2019:22:17:08 +0200] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:17:10 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:17:10 +0200] "GET /Project-Map/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:17:10 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:17:11 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:17:11 +0200] "GET /Project-Map/traffic.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:18:09 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:18:09 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:18:54 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:18:54 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:28:54 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:28:54 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:36:00 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [27/Apr/2019:22:36:00 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 2732
